"","Team1","Team2","Indicator1","Stadium_Clean1","Attendance_Clean1","Indicator2","Indicator3","Stadium_Clean2","Date","Attendance2","Attendance3","Attendance_Clean4"
"105","Sydney FC","Western Sydney Wanderers FC","Hyundai A-League R21","Allianz Stadium","25,211","
						Hyundai A-League R21
						Allianz Stadium
					","Hyundai A-League R21","Allianz Stadium","2018-02-25T07:30:00+00:00","
							Attendance
							25,211
						","Attendance","25,211"
"106","Melbourne City FC","Melbourne Victory","Hyundai A-League R22","AAMI Park","20,083","
						Hyundai A-League R22
						AAMI Park
					","Hyundai A-League R22","AAMI Park","2018-03-02T08:50:00+00:00","
							Attendance
							20,083
						","Attendance","20,083"
"107","Brisbane Roar FC","Adelaide United","Hyundai A-League R22","Suncorp Stadium","8,237","
						Hyundai A-League R22
						Suncorp Stadium
					","Hyundai A-League R22","Suncorp Stadium","2018-03-03T08:50:00+00:00","
							Attendance
							8,237
						","Attendance","8,237"
"108","Newcastle Jets","Sydney FC","Hyundai A-League R22","McDonald Jones Stadium","18,156","
						Hyundai A-League R22
						McDonald Jones Stadium
					","Hyundai A-League R22","McDonald Jones Stadium","2018-03-03T06:35:00+00:00","
							Attendance
							18,156
						","Attendance","18,156"
"109","Perth Glory","Central Coast Mariners","Hyundai A-League R22","nib Stadium","7,277","
						Hyundai A-League R22
						nib Stadium
					","Hyundai A-League R22","nib Stadium","2018-03-10T11:00:00+00:00","
							Attendance
							7,277
						","Attendance","7,277"
"110","Western Sydney Wanderers FC","Wellington Phoenix","Hyundai A-League R22","Spotless Stadium","7,041","
						Hyundai A-League R22
						Spotless Stadium
					","Hyundai A-League R22","Spotless Stadium","2018-03-10T08:50:00+00:00","
							Attendance
							7,041
						","Attendance","7,041"
"111","Adelaide United","Melbourne City FC","Hyundai A-League R23","Coopers Stadium","7,668","
						Hyundai A-League R23
						Coopers Stadium
					","Hyundai A-League R23","Coopers Stadium","2018-03-16T08:50:00+00:00","
							Attendance
							7,668
						","Attendance","7,668"
"112","Wellington Phoenix","Newcastle Jets","Hyundai A-League R23","QBE Stadium","4,672","
						Hyundai A-League R23
						QBE Stadium
					","Hyundai A-League R23","QBE Stadium","2018-03-17T06:35:00+00:00","
							Attendance
							4,672
						","Attendance","4,672"
"113","Western Sydney Wanderers FC","Perth Glory","Hyundai A-League R23","Spotless Stadium","6,612","
						Hyundai A-League R23
						Spotless Stadium
					","Hyundai A-League R23","Spotless Stadium","2018-03-04T06:00:00+00:00","
							Attendance
							6,612
						","Attendance","6,612"
"114","Melbourne Victory","Central Coast Mariners","Hyundai A-League R23","AAMI Park","14,076","
						Hyundai A-League R23
						AAMI Park
					","Hyundai A-League R23","AAMI Park","2018-03-18T06:00:00+00:00","
							Attendance
							14,076
						","Attendance","14,076"
"115","Sydney FC","Brisbane Roar FC","Hyundai A-League R23","Allianz Stadium","10,890","
						Hyundai A-League R23
						Allianz Stadium
					","Hyundai A-League R23","Allianz Stadium","2018-03-17T08:50:00+00:00","
							Attendance
							10,890
						","Attendance","10,890"
"116","Adelaide United","Newcastle Jets","Hyundai A-League R24","Coopers Stadium","7,227","
						Hyundai A-League R24
						Coopers Stadium
					","Hyundai A-League R24","Coopers Stadium","2018-03-23T08:50:00+00:00","
							Attendance
							7,227
						","Attendance","7,227"
"117","Central Coast Mariners","Sydney FC","Hyundai A-League R24","Central Coast Stadium","7,082","
						Hyundai A-League R24
						Central Coast Stadium
					","Hyundai A-League R24","Central Coast Stadium","2018-03-24T06:35:00+00:00","
							Attendance
							7,082
						","Attendance","7,082"
"118","Melbourne City FC","Western Sydney Wanderers FC","Hyundai A-League R24","AAMI Park","6,354","
						Hyundai A-League R24
						AAMI Park
					","Hyundai A-League R24","AAMI Park","2018-03-24T08:50:00+00:00","
							Attendance
							6,354
						","Attendance","6,354"
"119","Perth Glory","Melbourne Victory","Hyundai A-League R24","nib Stadium","7,796","
						Hyundai A-League R24
						nib Stadium
					","Hyundai A-League R24","nib Stadium","2018-03-25T08:00:00+00:00","
							Attendance
							7,796
						","Attendance","7,796"
"120","Wellington Phoenix","Brisbane Roar FC","Hyundai A-League R24","Westpac Stadium","4,594","
						Hyundai A-League R24
						Westpac Stadium
					","Hyundai A-League R24","Westpac Stadium","2018-03-25T06:00:00+00:00","
							Attendance
							4,594
						","Attendance","4,594"
"121","Newcastle Jets","Melbourne City FC","Hyundai A-League R25","McDonald Jones Stadium","11,423","
						Hyundai A-League R25
						McDonald Jones Stadium
					","Hyundai A-League R25","McDonald Jones Stadium","2018-04-01T07:00:00+00:00","
							Attendance
							11,423
						","Attendance","11,423"
"122","Adelaide United","Wellington Phoenix","Hyundai A-League R25","Coopers Stadium","11,738","
						Hyundai A-League R25
						Coopers Stadium
					","Hyundai A-League R25","Coopers Stadium","2018-03-30T08:50:00+00:00","
							Attendance
							11,738
						","Attendance","11,738"
"123","Brisbane Roar FC","Central Coast Mariners","Hyundai A-League R25","Suncorp Stadium","12,019","
						Hyundai A-League R25
						Suncorp Stadium
					","Hyundai A-League R25","Suncorp Stadium","2018-03-31T06:35:00+00:00","
							Attendance
							12,019
						","Attendance","12,019"
"124","Melbourne Victory","Western Sydney Wanderers FC","Hyundai A-League R25","AAMI Park","15,280","
						Hyundai A-League R25
						AAMI Park
					","Hyundai A-League R25","AAMI Park","2018-03-31T08:50:00+00:00","
							Attendance
							15,280
						","Attendance","15,280"
"125","Perth Glory","Sydney FC","Hyundai A-League R25","nib Stadium","7,742","
						Hyundai A-League R25
						nib Stadium
					","Hyundai A-League R25","nib Stadium","2018-03-29T10:30:00+00:00","
							Attendance
							7,742
						","Attendance","7,742"
"126","Newcastle Jets","Perth Glory","Hyundai A-League R26","McDonald Jones Stadium","8,123","
						Hyundai A-League R26
						McDonald Jones Stadium
					","Hyundai A-League R26","McDonald Jones Stadium","2018-04-06T09:50:00+00:00","
							Attendance
							8,123
						","Attendance","8,123"
"127","Melbourne City FC","Central Coast Mariners","Hyundai A-League R26","AAMI Park","8,156","
						Hyundai A-League R26
						AAMI Park
					","Hyundai A-League R26","AAMI Park","2018-04-07T09:50:00+00:00","
							Attendance
							8,156
						","Attendance","8,156"
"128","Western Sydney Wanderers FC","Brisbane Roar FC","Hyundai A-League R26","ANZ Stadium","9,266","
						Hyundai A-League R26
						ANZ Stadium
					","Hyundai A-League R26","ANZ Stadium","2018-04-07T07:35:00+00:00","
							Attendance
							9,266
						","Attendance","9,266"
"129","Melbourne Victory","Wellington Phoenix","Hyundai A-League R26","AAMI Park","13,182","
						Hyundai A-League R26
						AAMI Park
					","Hyundai A-League R26","AAMI Park","2018-04-08T07:00:00+00:00","
							Attendance
							13,182
						","Attendance","13,182"
"130","Sydney FC","Adelaide United","Hyundai A-League R26","Allianz Stadium","9,110","
						Hyundai A-League R26
						Allianz Stadium
					","Hyundai A-League R26","Allianz Stadium","2018-04-08T09:00:00+00:00","
							Attendance
							9,110
						","Attendance","9,110"
"131","Sydney FC","Melbourne Victory","Hyundai A-League R27","Allianz Stadium","15,567","
						Hyundai A-League R27
						Allianz Stadium
					","Hyundai A-League R27","Allianz Stadium","2018-04-13T09:50:00+00:00","
							Attendance
							15,567
						","Attendance","15,567"
"132","Central Coast Mariners","Newcastle Jets","Hyundai A-League R27","Central Coast Stadium","7,604","
						Hyundai A-League R27
						Central Coast Stadium
					","Hyundai A-League R27","Central Coast Stadium","2018-04-14T09:50:00+00:00","
							Attendance
							7,604
						","Attendance","7,604"
"133","Perth Glory","Brisbane Roar FC","Hyundai A-League R27","nib Stadium","9,579","
						Hyundai A-League R27
						nib Stadium
					","Hyundai A-League R27","nib Stadium","2018-04-14T12:00:00+00:00","
							Attendance
							9,579
						","Attendance","9,579"
"134","Wellington Phoenix","Melbourne City FC","Hyundai A-League R27","QBE Stadium","4,312","
						Hyundai A-League R27
						QBE Stadium
					","Hyundai A-League R27","QBE Stadium","2018-04-14T07:35:00+00:00","
							Attendance
							4,312
						","Attendance","4,312"
"135","Western Sydney Wanderers FC","Adelaide United","Hyundai A-League R27","ANZ Stadium","12,122","
						Hyundai A-League R27
						ANZ Stadium
					","Hyundai A-League R27","ANZ Stadium","2018-04-15T07:00:00+00:00","
							Attendance
							12,122
						","Attendance","12,122"
